epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0592,2.29173,3.29846,2.55076,0.00516,0.14813,0.00313,0.00074,3.68055,4.61112,4.06448,0.0003325,0.0003325,0.0670825
2,168.802,2.10283,3.18502,2.4323,0.00167,0.29906,0.00655,0.00133,3.55485,3.69441,4.05016,0.000659242,0.000659242,0.0340759
3,250.193,2.03043,3.12099,2.33876,0.00162,0.4071,0.01512,0.00342,3.40263,3.48477,3.62415,0.000979383,0.000979383,0.00106272
4,339.864,2.00549,3.10445,2.31325,0.50612,0.12938,0.00543,0.00094,3.68419,3.82632,4.23724,0.0009703,0.0009703,0.0009703
5,462.74,1.98908,3.09592,2.29635,0.00242,0.30375,0.00977,0.00199,3.40648,3.39945,3.79138,0.0009604,0.0009604,0.0009604
6,588.694,1.95456,3.07967,2.29147,0.00187,0.36492,0.00986,0.00221,3.52138,3.27823,4.01962,0.0009505,0.0009505,0.0009505
7,697.915,1.9424,3.04017,2.25777,0.00202,0.25315,0.00576,0.00107,3.55238,3.527,4.12846,0.0009406,0.0009406,0.0009406
8,816.354,1.91963,2.99548,2.23449,0.00227,0.39329,0.01028,0.00215,3.38901,3.27177,4.0087,0.0009307,0.0009307,0.0009307
9,930.94,1.89959,3.01714,2.22721,0.51221,0.15961,0.01575,0.00336,3.24941,3.19841,3.78487,0.0009208,0.0009208,0.0009208
10,1047.49,1.91294,3.00451,2.23228,0.53397,0.07316,0.01491,0.00294,3.43011,3.14334,3.99895,0.0009109,0.0009109,0.0009109
11,1164.69,1.86729,2.97224,2.2086,0.51273,0.0786,0.00724,0.00147,3.46509,3.49294,4.28767,0.000901,0.000901,0.000901
12,1273.12,1.87944,2.98175,2.20354,0.54376,0.05925,0.01131,0.00214,3.39714,3.56933,4.09863,0.0008911,0.0008911,0.0008911
13,1374.02,1.85811,2.99253,2.2023,0.53933,0.06227,0.01705,0.00363,3.29826,3.23318,3.81279,0.0008812,0.0008812,0.0008812
14,1477.22,1.85942,2.98714,2.19882,0.53739,0.07074,0.01374,0.00258,3.37305,3.35207,4.06541,0.0008713,0.0008713,0.0008713
15,1596.68,1.81343,2.96137,2.15882,0.53804,0.0659,0.0127,0.00243,3.35105,3.24852,3.96443,0.0008614,0.0008614,0.0008614
16,1713.95,1.83154,2.96763,2.176,0.54602,0.0653,0.01782,0.00346,3.33252,3.20965,3.99664,0.0008515,0.0008515,0.0008515
17,1820.46,1.82581,2.94324,2.16537,0.52337,0.04958,0.0106,0.00217,3.37113,3.34017,3.94916,0.0008416,0.0008416,0.0008416
18,1926.71,1.81022,2.93064,2.17229,0.54403,0.06832,0.01712,0.00376,3.48501,3.21672,4.17388,0.0008317,0.0008317,0.0008317
19,2030.78,1.80431,2.92801,2.16278,0.53329,0.07074,0.01339,0.00292,3.30721,3.2765,4.05664,0.0008218,0.0008218,0.0008218
20,2130.09,1.81322,2.93558,2.16282,0.53975,0.08102,0.01778,0.00384,3.23941,3.1035,3.66211,0.0008119,0.0008119,0.0008119
21,2228.93,1.80455,2.91361,2.15021,0.54528,0.06348,0.01553,0.0032,3.33223,3.16438,4.04168,0.000802,0.000802,0.000802
22,2331.42,1.79155,2.92831,2.13884,0.55158,0.0792,0.0192,0.00428,3.15167,3.09141,3.92391,0.0007921,0.0007921,0.0007921
23,2433.96,1.80337,2.922,2.14798,0.54409,0.07635,0.01564,0.00337,3.26747,3.25866,4.06954,0.0007822,0.0007822,0.0007822
24,2525.63,1.77869,2.91659,2.14777,0.54482,0.09311,0.02523,0.00608,3.08709,3.06297,3.77339,0.0007723,0.0007723,0.0007723
25,2689.41,1.79592,2.93202,2.1408,0.54417,0.07195,0.01719,0.00388,3.17038,3.1028,3.96521,0.0007624,0.0007624,0.0007624
26,2830.8,1.77137,2.90525,2.12438,0.54165,0.06581,0.01551,0.00336,3.18914,3.1814,3.99133,0.0007525,0.0007525,0.0007525
27,2932.2,1.78617,2.91282,2.13899,0.53804,0.10278,0.01636,0.00403,3.17809,3.18714,4.01618,0.0007426,0.0007426,0.0007426
28,3021.75,1.7522,2.89625,2.11588,0.5428,0.06469,0.0161,0.0037,3.1691,3.21262,4.03707,0.0007327,0.0007327,0.0007327
29,3119.89,1.75608,2.89464,2.11857,0.53787,0.07557,0.01472,0.00309,3.23247,3.22874,3.88278,0.0007228,0.0007228,0.0007228
30,3210.78,1.76218,2.91599,2.11603,0.54581,0.06046,0.01666,0.00394,3.11003,3.13533,3.85394,0.0007129,0.0007129,0.0007129
