epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3381,3.49403,4.35449,2.46644,0.03281,0.03765,0.01209,0.00307,3.04982,3.85149,2.03978,0.00198837,0.00198837,0.0821047
2,150.034,3.06132,2.30831,2.07668,0.11594,0.11059,0.04406,0.01117,3.0447,2.83574,2.08897,0.00396181,0.00396181,0.0640781
3,222.867,3.05489,2.19654,2.09101,0.11965,0.01647,0.0073,0.0024,3.52189,2.49563,2.39156,0.00590861,0.00590861,0.0460249
4,292.671,3.11179,2.1191,2.13817,0.12508,0.01882,0.01433,0.00373,3.70037,2.67363,2.40688,0.00782876,0.00782876,0.027945
5,350.652,3.23385,2.17781,2.19478,0.01154,0.32,0.04018,0.01087,3.2814,2.30518,2.18987,0.00972228,0.00972228,0.00983856
6,405.901,3.30272,2.18154,2.24999,0.03799,0.04941,0.01231,0.00451,3.44409,9.76755,2.48627,0.009667,0.009667,0.009667
7,461.522,3.23816,2.30865,2.27378,0.00654,0.36235,0.02447,0.008,3.6273,2.60732,2.48162,0.0096004,0.0096004,0.0096004
8,518.18,3.22221,2.26365,2.28181,0.0957,0.03059,0.02318,0.00658,3.37459,2.7355,2.4137,0.0095338,0.0095338,0.0095338
9,573.637,3.18823,2.21439,2.30033,0.0039,0.56706,0.00381,0.00116,nan,nan,nan,0.0094672,0.0094672,0.0094672
10,628.932,3.16542,2.09342,2.30416,0.20843,0.12471,0.07972,0.02689,2.91379,2.67765,2.12776,0.0094006,0.0094006,0.0094006
11,700.363,3.09197,2.03718,2.27033,0.12252,0.12941,0.05978,0.01715,2.8479,3.27662,2.13696,0.009334,0.009334,0.009334
12,769.246,3.05198,2.03588,2.21362,0.17751,0.12,0.07295,0.02613,3.0327,2.40497,2.12083,0.0092674,0.0092674,0.0092674
13,840.057,2.98158,1.99603,2.18677,0.12634,0.10353,0.04883,0.0164,3.12196,3.4688,2.26894,0.0092008,0.0092008,0.0092008
14,909.81,2.90674,2.07979,2.15627,0.19543,0.2109,0.11396,0.03591,2.76867,4.1502,2.06631,0.0091342,0.0091342,0.0091342
15,980.154,2.97248,1.96769,2.1727,0.23464,0.12471,0.09585,0.02863,2.86903,2.09149,2.12331,0.0090676,0.0090676,0.0090676
16,1049.97,2.97086,2.0216,2.1646,0.22718,0.20235,0.1342,0.03941,2.86368,2.03393,2.06777,0.009001,0.009001,0.009001
17,1120.15,2.97551,1.92013,2.19053,0.21838,0.17647,0.10899,0.03232,2.70485,1.99355,2.03914,0.0089344,0.0089344,0.0089344
18,1189.73,2.95303,1.87717,2.25505,0.25665,0.18118,0.14237,0.04383,2.82714,1.94587,2.09043,0.0088678,0.0088678,0.0088678
19,1251.66,2.8648,1.9164,2.18464,0.19791,0.19059,0.10028,0.03394,2.78706,2.10876,2.05879,0.0088012,0.0088012,0.0088012
20,1311.63,2.87385,1.92244,2.18097,0.30381,0.19765,0.1896,0.05977,2.85366,1.8774,2.05117,0.0087346,0.0087346,0.0087346
